Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1666454500.91992,0,57701,0,GPS1_FRAME,42.336398333333335,-71.09867666666666,25.7,327107.3636814667,4689260.279714528,19,T
1666454501.9206743,0,57702,0,GPS1_FRAME,42.336415,-71.09862666666666,25.5,327111.528616828,4689262.028759695,19,T
1666454502.9209304,0,57703,0,GPS1_FRAME,42.336435,-71.09857,25.4,327116.25191914244,4689264.134394283,19,T
1666454503.9205153,0,57704,0,GPS1_FRAME,42.33646,-71.09850333333333,25.2,327121.81277146435,4689266.774913116,19,T
1666454504.919932,0,57705,0,GPS1_FRAME,42.336488333333335,-71.09843,25.1,327127.93198750145,4689269.772024154,19,T
1666454505.9188428,0,57706,0,GPS1_FRAME,42.33652,-71.09835333333334,24.5,327134.3349486954,4689273.132505315,19,T
1666454506.9194162,0,57707,0,GPS1_FRAME,42.336555,-71.09827333333334,24.0,327141.0216536409,4689276.856357346,19,T
1666454507.9202585,0,57708,0,GPS1_FRAME,42.33659,-71.09818833333334,23.5,327148.1202761403,4689280.570051594,19,T
1666454508.9200606,0,57709,0,GPS1_FRAME,42.33663,-71.0981,23.1,327155.5072062097,4689284.832189284,19,T
1666454509.9144938,0,57710,0,GPS1_FRAME,42.33667,-71.09800666666666,22.7,327163.306051397,4689289.084171431,19,T
1666454510.9203677,0,57711,0,GPS1_FRAME,42.336713333333336,-71.09790833333334,22.4,327171.52594270196,4689293.696140818,19,T
1666454511.9139113,0,57712,0,GPS1_FRAME,42.336756666666666,-71.09781,22.1,327179.74582291814,4689298.308119559,19,T
1666454512.9144344,0,57713,0,GPS1_FRAME,42.336798333333334,-71.09771166666667,21.9,327187.96112657624,4689302.735036934,19,T
1666454513.9205246,0,57714,0,GPS1_FRAME,42.33684,-71.09761333333333,21.6,327196.17641956225,4689307.16196366,19,T
1666454514.9182165,0,57715,0,GPS1_FRAME,42.33688,-71.09751666666666,21.4,327204.2498291901,4689311.407215924,19,T
1666454515.9205859,0,57716,0,GPS1_FRAME,42.33692166666667,-71.09741666666666,21.2,327212.6024086976,4689315.830774452,19,T
1666454516.915518,0,57717,0,GPS1_FRAME,42.33696333333334,-71.097315,21.0,327221.092284811,4689320.250956072,19,T
1666454517.9194748,0,57718,0,GPS1_FRAME,42.33700666666667,-71.09721,20.8,327229.86132902605,4689324.84944558,19,T
1666454518.9199576,0,57719,0,GPS1_FRAME,42.33705166666667,-71.0971,20.7,327239.0468473588,4689329.62285776,19,T
1666454519.9183435,0,57720,0,GPS1_FRAME,42.33709666666667,-71.09698833333333,20.6,327248.3696599634,4689334.392895589,19,T
1666454520.9111404,0,57721,0,GPS1_FRAME,42.33714166666667,-71.09687833333334,20.5,327257.5551524091,4689339.166331353,19,T
1666454521.9213154,0,57722,0,GPS1_FRAME,42.337185,-71.09676833333333,20.4,327266.7360685103,4689343.754708102,19,T
1666454522.9173408,0,57723,0,GPS1_FRAME,42.337226666666666,-71.09666166666666,20.3,327275.63779521256,4689348.16479688,19,T
1666454523.9197042,0,57724,0,GPS1_FRAME,42.337265,-71.09655666666667,20.2,327284.39307754755,4689352.208140586,19,T
1666454524.9169073,0,57725,0,GPS1_FRAME,42.3373,-71.09645333333333,20.1,327293.00191712484,4689355.884738707,19,T
1666454525.9208827,0,57726,0,GPS1_FRAME,42.337331666666664,-71.09635666666667,20.1,327301.05239555606,4689359.204745835,19,T
1666454526.9178495,0,57727,0,GPS1_FRAME,42.337356666666665,-71.09627333333333,20.0,327307.986163802,4689361.811558247,19,T
1666454527.9201338,0,57728,0,GPS1_FRAME,42.337378333333334,-71.09620666666666,20.0,327313.5377367219,4689364.082083728,19,T
1666454528.9191933,0,57729,0,GPS1_FRAME,42.33739333333333,-71.09615666666667,20.0,327317.69799232966,4689365.646177623,19,T
1666454529.914079,0,57730,0,GPS1_FRAME,42.337403333333334,-71.09612166666666,19.9,327320.6088014727,4689366.685523574,19,T
1666454530.9194484,0,57731,0,GPS1_FRAME,42.33741,-71.096095,19.8,327322.82395334425,4689367.371652305,19,T
1666454531.9213755,0,57732,0,GPS1_FRAME,42.337415,-71.09608,19.8,327324.07339754875,4689367.896403054,19,T
1666454532.9197307,0,57733,0,GPS1_FRAME,42.33741666666667,-71.09607166666666,19.7,327324.7644918297,4689368.0645508645,19,T
